away_team,away_team_id,competition_id,date,home_team,home_team_id,match_id
"{0: 'Crusaders', 1: 'Moana Pasifika', 2: 'Fijian Drua', 3: 'San Diego Legion'}","{0: '25936', 1: '289319', 2: '289338', 3: '289277'}","{0: '242041', 1: '242041', 2: '242041', 3: '289262'}","{0: '20250221', 1: '20250221', 2: '20250221', 3: '20250221'}","{0: 'Chiefs', 1: 'Queensland Reds', 2: 'Hurricanes', 3: 'Anthem Rugby Carolina'}","{0: '25934', 1: '182', 2: '25939', 3: '289492'}","{0: '600353', 1: '600354', 2: '600355', 3: '602113'}"
"{0: 'Ireland', 1: 'Scotland', 2: 'Lions', 3: 'Lyon', 4: 'Stade Francais Paris', 5: 'Montpellier Herault', 6: 'Perpignan', 7: 'Racing 92', 8: 'Bayonne', 9: 'Blues', 10: 'Western Force', 11: 'Croatia'}","{0: '3', 1: '2', 2: '25958', 3: '143736', 4: '25921', 5: '25918', 6: '25920', 7: '99855', 8: '25912', 9: '25932', 10: '25893', 11: '289439'}","{0: '180659', 1: '180659', 2: '270557', 3: '270559', 4: '270559', 5: '270559', 6: '270559', 7: '270559', 8: '270559', 9: '242041', 10: '242041', 11: '289234'}","{0: '20250222', 1: '20250222', 2: '20250222', 3: '20250222', 4: '20250222', 5: '20250222', 6: '20250222', 7: '20250222', 8: '20250222', 9: '20250222', 10: '20250222', 11: '20250222'}","{0: 'Wales', 1: 'England', 2: 'Bulls', 3: 'Castres Olympique', 4: 'Toulon', 5: 'Vannes', 6: 'Pau', 7: 'La Rochelle', 8: 'Stade Toulousain', 9: 'Highlanders', 10: 'Brumbies', 11: 'Poland'}","{0: '4', 1: '1', 2: '25953', 3: '25916', 4: '25986', 5: '289337', 6: '270567', 7: '119318', 8: '25922', 9: '25938', 10: '25889', 11: '289361'}","{0: '600256', 1: '600257', 2: '599262', 3: '599718', 4: '599719', 5: '599720', 6: '599721', 7: '599722', 8: '599723', 9: '600356', 10: '600357', 11: '601214'}"
"{0: 'France', 1: 'Clermont Auvergne', 2: 'Utah Warriors', 3: 'Nola Gold', 4: 'Houston SaberCats'}","{0: '9', 1: '25917', 2: '289278', 3: '289270', 4: '289273'}","{0: '180659', 1: '270559', 2: '289262', 3: '289262', 4: '289262'}","{0: '20250223', 1: '20250223', 2: '20250223', 3: '20250223', 4: '20250223'}","{0: 'Italy', 1: 'Bordeaux Begles', 2: 'Chicago Hounds', 3: 'Miami Sharks', 4: 'RFCLA'}","{0: '20', 1: '143737', 2: '289351', 3: '289490', 4: '289312'}","{0: '600258', 1: '599724', 2: '602115', 3: '602114', 4: '602116'}"
"{0: 'Edinburgh', 1: 'Dragons', 2: 'Highlanders', 3: 'Fijian Drua', 4: 'Brumbies', 5: 'Miami Sharks'}","{0: '25951', 1: '25967', 2: '25938', 3: '289338', 4: '25889', 5: '289490'}","{0: '270557', 1: '270557', 2: '242041', 3: '242041', 4: '242041', 5: '289262'}","{0: '20250228', 1: '20250228', 2: '20250228', 3: '20250228', 4: '20250228', 5: '20250228'}","{0: 'Munster', 1: 'Zebre', 2: 'Moana Pasifika', 3: 'New South Wales Waratahs', 4: 'Chiefs', 5: 'Anthem Rugby Carolina'}","{0: '25925', 1: '167124', 2: '289319', 3: '227', 4: '25934', 5: '289492'}","{0: '599285', 1: '599286', 2: '600358', 3: '600359', 4: '600360', 5: '602117'}"
"{0: 'Sharks', 1: 'Cardiff Blues', 2: 'Stormers', 3: 'Scarlets', 4: 'Benetton Treviso', 5: 'Ospreys', 6: 'La Rochelle', 7: 'Toulon', 8: 'Castres Olympique', 9: 'Pau', 10: 'Vannes', 11: 'Bordeaux Begles', 12: 'Blues', 13: 'Queensland Reds', 14: 'Nola Gold', 15: 'San Diego Legion', 16: 'Seattle Seawolves'}","{0: '25961', 1: '25965', 2: '25962', 3: '25966', 4: '25927', 5: '25968', 6: '119318', 7: '25986', 8: '25916', 9: '270567', 10: '289337', 11: '143737', 12: '25932', 13: '182', 14: '289270', 15: '289277', 16: '289272'}","{0: '270557', 1: '270557', 2: '270557', 3: '270557', 4: '270557', 5: '270557', 6: '270559', 7: '270559', 8: '270559', 9: '270559', 10: '270559', 11: '270559', 12: '242041', 13: '242041', 14: '289262', 15: '289262', 16: '289262'}","{0: '20250301', 1: '20250301', 2: '20250301', 3: '20250301', 4: '20250301', 5: '20250301', 6: '20250301', 7: '20250301', 8: '20250301', 9: '20250301', 10: '20250301', 11: '20250301', 12: '20250301', 13: '20250301', 14: '20250301', 15: '20250301', 16: '20250301'}","{0: 'Lions', 1: 'Leinster', 2: 'Bulls', 3: 'Ulster', 4: 'Connacht', 5: 'Glasgow Warriors', 6: 'Stade Francais Paris', 7: 'Lyon', 8: 'Montpellier Herault', 9: 'Racing 92', 10: 'Stade Toulousain', 11: 'Perpignan', 12: 'Hurricanes', 13: 'Western Force', 14: 'Utah Warriors', 15: 'Old Glory DC', 16: 'Houston SaberCats'}","{0: '25958', 1: '25924', 2: '25953', 3: '25926', 4: '25923', 5: '25952', 6: '25921', 7: '143736', 8: '25918', 9: '99855', 10: '25922', 11: '25920', 12: '25939', 13: '25893', 14: '289278', 15: '289311', 16: '289273'}","{0: '599287', 1: '599289', 2: '599288', 3: '599290', 4: '599291', 5: '599292', 6: '599729', 7: '599726', 8: '599727', 9: '599728', 10: '599730', 11: '599731', 12: '600361', 13: '600362', 14: '602118', 15: '602119', 16: '602120'}"
"{0: 'Clermont Auvergne', 1: 'New England Free Jacks'}","{0: '25917', 1: '289310'}","{0: '270559', 1: '289262'}","{0: '20250302', 1: '20250302'}","{0: 'Bayonne', 1: 'Chicago Hounds'}","{0: '25912', 1: '289351'}","{0: '599725', 1: '602121'}"
"{0: 'Brumbies', 1: 'Chiefs', 2: 'Chicago Hounds'}","{0: '25889', 1: '25934', 2: '289351'}","{0: '242041', 1: '242041', 2: '289262'}","{0: '20250307', 1: '20250307', 2: '20250307'}","{0: 'Blues', 1: 'Fijian Drua', 2: 'Miami Sharks'}","{0: '25932', 1: '289338', 2: '289490'}","{0: '600363', 1: '600364', 2: '602124'}"
"{0: 'France', 1: 'Wales', 2: 'Lions', 3: 'Hurricanes', 4: 'Western Force', 5: 'Queensland Reds', 6: 'Anthem Rugby Carolina', 7: 'Houston SaberCats', 8: 'New England Free Jacks', 9: 'RFCLA', 10: 'Luxembourg'}","{0: '9', 1: '4', 2: '25958', 3: '25939', 4: '25893', 5: '182', 6: '289492', 7: '289273', 8: '289310', 9: '289312', 10: '289483'}","{0: '180659', 1: '180659', 2: '270557', 3: '242041', 4: '242041', 5: '242041', 6: '289262', 7: '289262', 8: '289262', 9: '289262', 10: '289234'}","{0: '20250308', 1: '20250308', 2: '20250308', 3: '20250308', 4: '20250308', 5: '20250308', 6: '20250308', 7: '20250308', 8: '20250308', 9: '20250308', 10: '20250308'}","{0: 'Ireland', 1: 'Scotland', 2: 'Sharks', 3: 'Moana Pasifika', 4: 'New South Wales Waratahs', 5: 'Crusaders', 6: 'Old Glory DC', 7: 'Utah Warriors', 8: 'Seattle Seawolves', 9: 'San Diego Legion', 10: 'Czech Republic'}","{0: '3', 1: '2', 2: '25961', 3: '289319', 4: '227', 5: '25936', 6: '289311', 7: '289278', 8: '289272', 9: '289277', 10: '289434'}","{0: '600259', 1: '600260', 2: '599199', 3: '600365', 4: '600366', 5: '600367', 6: '602122', 7: '602123', 8: '602125', 9: '602126', 10: '601215'}"
{0: 'Italy'},{0: '20'},{0: '180659'},{0: '20250309'},{0: 'England'},{0: '1'},{0: '600261'}
"{0: 'Hurricanes', 1: 'Fijian Drua', 2: 'Western Force'}","{0: '25939', 1: '289338', 2: '25893'}","{0: '242041', 1: '242041', 2: '242041'}","{0: '20250314', 1: '20250314', 2: '20250314'}","{0: 'Highlanders', 1: 'Brumbies', 2: 'Crusaders'}","{0: '25938', 1: '25889', 2: '25936'}","{0: '600368', 1: '600369', 2: '600370'}"
