match_id,date,season,competition_id,competition,venue_id,venue,city_played,home_team,away_team,home_team_id,away_team_id,completed,is_tournament,played_on_grass,attendance,home_team_form,away_team_form
597666,20230128,2023,270559,Top 14,80047,Stade Mayol,Toulon,Toulon,Pau,25986,270567,True,True,True,,WLWWW,LWLLW
597668,20230128,2023,270559,Top 14,16610,Stade Aime Giral,Perpignan,Perpignan,Stade Francais Paris,25920,25921,True,True,True,,LWLLT,LLWLL
597665,20230128,2023,270559,Top 14,289546,Paris La Defense Arena,Nanterre,Racing 92,La Rochelle,99855,119318,True,True,True,,LTLLW,WLWWW
599478,20230128,2023,270557,United Rugby Championship,16223,Stadio Comunale di Monigo,Treviso,Benetton Treviso,Munster,25927,25925,True,True,True,,WWWLL,LWLWW
599479,20230128,2023,270557,United Rugby Championship,16107,Rodney Parade,Newport,Dragons,Glasgow Warriors,25967,25952,True,True,True,,LLWLL,LWLWW
599480,20230128,2023,270557,United Rugby Championship,26074,RDS Arena,Dublin,Leinster,Cardiff Blues,25924,25965,True,True,True,,WWWWW,TWWLW
599481,20230128,2023,270557,United Rugby Championship,308496,Hive Stadium,Edinburgh,Edinburgh,Sharks,25951,25961,True,True,True,,WLWLW,LWLWW
599482,20230128,2023,270557,United Rugby Championship,26071,Dexcom Stadium,Galway,Connacht,Lions,25923,25958,True,True,True,,LLWWL,LWLLL
595749,20230129,2023,267979,Premiership Rugby,308456,Gtech Community Stadium,London,Wasps,London Irish,25905,25904,True,True,True,,LLLWW,WLWLW
599483,20230129,2023,270557,United Rugby Championship,103678,Stadio Sergio Lanfranchi,Parma,Zebre,Ospreys,167124,25968,True,True,True,,LLLLW,TWLWL
597667,20230129,2023,270559,Top 14,16510,Stade Ernest-Wallon,Toulouse,Stade Toulousain,Montpellier Herault,25922,25918,True,True,True,,LWTWW,WWWWW
